Rank,NCT Number,Title,Status,Study Results,Conditions,Phases,Enrollment,Start Date,Completion Date,URL
1,NCT02541383,A Study to Evaluate Daratumumab in Transplant Eligible Participants With Previously Untreated Multiple Myeloma,Recruiting,No Results Available,Multiple Myeloma,Phase 3,1080,Sep-15,Aug-24,https://ClinicalTrials.gov/show/NCT02541383
2,NCT01734928,"Safety and Efficacy of Pomalidomide, Bortezomib and Low-dose Dexamethasone in Subjects With Relapsed or Refractory Multiple Myeloma","Active, not recruiting",No Results Available,Multiple Myeloma,Phase 3,559,7-Jan-13,24-Apr-22,https://ClinicalTrials.gov/show/NCT01734928
3,NCT02248428,Clarithromycin Plus CTd Regimen for Patients With Newly Diagnosed Multiple Myeloma,Recruiting,No Results Available,Multiple Myeloma,Phase 3,130,Apr-12,Sep-20,https://ClinicalTrials.gov/show/NCT02248428
4,NCT02576977,Study of Pomalidomide and Low Dose Dexamethasone With or Without Pembrolizumab (MK-3475) in Refractory or Relapsed and Refractory Multiple Myeloma (rrMM) (MK-3475-183/KEYNOTE-183),"Active, not recruiting",No Results Available,Multiple Myeloma,Phase 3,300,19-Oct-15,30-Sep-20,https://ClinicalTrials.gov/show/NCT02576977
5,NCT01208766,Study to Compare VMP With HDM Followed by VRD Consolidation and Lenalidomide Maintenance in Patients With Newly Diagnosed Multiple Myeloma,"Active, not recruiting",No Results Available,Multiple Myeloma,Phase 3,1500,Jan-11,Apr-21,https://ClinicalTrials.gov/show/NCT01208766
6,NCT03110562,"Bortezomib, Selinexor, and Dexamethasone in Patients With Multiple Myeloma",Recruiting,No Results Available,Multiple Myeloma,Phase 3,364,7-Jun-17,Jun-20,https://ClinicalTrials.gov/show/NCT03110562
7,NCT02659293,"Trial of Carfilzomib, Lenalidomide, Dexamethasone Versus Lenalidomide Alone After Stem-cell Transplant for Multiple Myeloma",Recruiting,No Results Available,Multiple Myeloma,Phase 3,180,26-Apr-16,May-20,https://ClinicalTrials.gov/show/NCT02659293
8,NCT02215980,STUDY TO DETERMINE THE EFFICACY AND SAFETY OF STANDARD SCHEDULE VERSUS A NEW ALGORITHM OF DOSE REDUCTIONS IN ELDERLY AND UNFIT NEWLY DIAGNOSED MULTIPLE MYELOMA PATIENTS RECEIVING LENALIDOMIDE PLUS STEROIDS,Recruiting,No Results Available,Multiple Myeloma,Phase 3,200,Jul-14,Jul-19,https://ClinicalTrials.gov/show/NCT02215980
9,NCT02136134,Addition of Daratumumab to Combination of Bortezomib and Dexamethasone in Participants With Relapsed or Refractory Multiple Myeloma,"Active, not recruiting",Has Results,Multiple Myeloma,Phase 3,499,15-Aug-14,15-Jun-21,https://ClinicalTrials.gov/show/NCT02136134
10,NCT01712789,Evaluation of Safety of Pomalidomide in Combination With Dexamethasone (Low Dose) in Patients With Refractory or Relapsed and Refractory Multiple Myeloma,"Active, not recruiting",No Results Available,Multiple Myeloma,Phase 3,682,6-Nov-12,11-Dec-19,https://ClinicalTrials.gov/show/NCT01712789
11,NCT02076009,"A Study Comparing Daratumumab, Lenalidomide, and Dexamethasone With Lenalidomide and Dexamethasone in Relapsed or Refractory Multiple Myeloma","Active, not recruiting",Has Results,Multiple Myeloma,Phase 3,569,23-May-14,29-Sep-20,https://ClinicalTrials.gov/show/NCT02076009
12,NCT02252172,"Study Comparing Daratumumab, Lenalidomide, and Dexamethasone With Lenalidomide and Dexamethasone in Participants With Previously Untreated Multiple Myeloma","Active, not recruiting",No Results Available,Multiple Myeloma,Phase 3,745,16-Feb-15,22-Nov-22,https://ClinicalTrials.gov/show/NCT02252172
13,NCT01850524,IXAZOMIB Plus Lenalidomide and Dexamethasone Versus Placebo Plus Lenalidomide and Dexamethasone in Adult Patients With Newly Diagnosed Multiple Myeloma,"Active, not recruiting",No Results Available,Multiple Myeloma,Phase 3,701,17-May-13,22-Feb-21,https://ClinicalTrials.gov/show/NCT01850524
14,NCT03277105,A Study of Subcutaneous Versus (vs.) Intravenous Administration of Daratumumab in Participants With Relapsed or Refractory Multiple Myeloma,Recruiting,No Results Available,Multiple Myeloma,Phase 3,480,27-Oct-17,8-Oct-20,https://ClinicalTrials.gov/show/NCT03277105
15,NCT02195479,A Study of Combination of Daratumumab and Velcade (Bortezomib) Melphalan-Prednisone (DVMP) Compared to Velcade Melphalan-Prednisone (VMP) in Participants With Previously Untreated Multiple Myeloma,"Active, not recruiting",No Results Available,Multiple Myeloma,Phase 3,706,9-Dec-14,20-Oct-21,https://ClinicalTrials.gov/show/NCT02195479
16,NCT02516696,BiRd vs. Rd as Initial Therapy in Multiple Myeloma,Recruiting,No Results Available,Multiple Myeloma,Phase 3,320,Feb-16,Aug-19,https://ClinicalTrials.gov/show/NCT02516696
17,NCT03234972,"A Study to Compare Daratumumab, Bortezomib, and Dexamethasone (DVd) vs Bortezomib and Dexamethasone (Vd) in Chinese Participants With Relapsed or Refractory Multiple Myeloma",Recruiting,No Results Available,Multiple Myeloma,Phase 3,210,30-Nov-17,31-Aug-22,https://ClinicalTrials.gov/show/NCT03234972
18,NCT02755597,A Study Evaluating Venetoclax (ABT-199) in Multiple Myeloma Subjects Who Are Receiving Bortezomib and Dexamethasone as Standard Therapy,"Active, not recruiting",No Results Available,Relapsed/Refractory Multiple Myeloma,Phase 3,291,12-Jul-16,14-Apr-20,https://ClinicalTrials.gov/show/NCT02755597
19,NCT02726581,"An Investigational Immuno-therapy Study of Nivolumab, Pomalidomide and Dexamethasone Combinations in Patients With Multiple Myeloma",Recruiting,No Results Available,Multiple Myeloma,Phase 3,348,21-Apr-16,8-Dec-22,https://ClinicalTrials.gov/show/NCT02726581
20,NCT02916420,Efficacy and Safety of Pomalidomide in Combination With Low-dose Dexamethasone in Chinese Patients With Relapsed and Refractory Multiple Myeloma,Recruiting,No Results Available,Multiple Myeloma,Phase 3,73,Sep-16,Jun-19,https://ClinicalTrials.gov/show/NCT02916420
21,NCT02811978,Study of Subcutaneous and Intravenous Velcade in Combination With Dexamethasone in Chinese Subjects With Relapsed and Refractory Multiple Myeloma,"Active, not recruiting",No Results Available,Multiple Myeloma,Phase 3,81,27-Sep-16,10-Nov-18,https://ClinicalTrials.gov/show/NCT02811978
